specimen_id,lims_specimen_id,lims_name,bcm_id,aibs_id
17886_1R,0669260020,GCaMP6f-386190.01.02,17886,386190
17795_1R,665666369,Slc/Ai162-383766.01.02,17795,383766
17358_1R,665661675,Slc/Ai148/H2B-mCherry-383765.01.02,17358,383765
343033_1L,657861895,Slc17a7-IRES2-Cre;Ai148-343033.01.01,NaN,343033
17021_1R,656634693,Dlx5;Slc17a7-Cre;Ai148-371837.01.02,17021,371837
247488_9L,603924974,C57BL/6-247488.09.01,9161,247488
239849_7R,603908037,Camk2a-tTA/tetO-GCaMP6s-239849.07.01,8623,239849
247488_8R,661511423,C57BL/6-247488.08.02,9161,247488
247488_7L,603924963,C57BL/6-247488.07.01,9161,247488
295434_5LC,594089217,C57BL/6J-295434.05.01,NaN,295434
284678_2RB1,603924995,Scnn1a-Tg3-Cre;Rosa26-ZtTA;Ai133-284678.02.01 ,NaN,284678
295434_4LB,603907295,C57BL/6J-295434.04.01 ,NaN,295434
